"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3";"R_0805_2012Metric";1;"4k7";;;
2;"R2,R1";"R_0805_2012Metric";2;"10k";;;
3;"F1";"C_Disc_D7.5mm_W2.5mm_P5.00mm";1;"Polyfuse 10ma/20mA";;;
4;"C6,C5";"C_0805_2012Metric";2;"100n";;;
5;"U4";"TQFP-32_7x7mm_P0.8mm";1;"ATmega8A-A";;;
6;"U2";"SOT-23W";1;"A1101ELHL";;;
7;"TP9,TP8,TP7";"TestPoint_Pad_D2.0mm";3;"COM";;;
8;"H3,H2,H1";"MountingHole_3.2mm_M3";3;"MountingHole";;;
9;"J6";"Card Edge 16 power";1;"Conn_02x08_Top_Bottom";;;
10;"J1";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"JST05_StepperMotor";;;
11;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"10u 15V";;;
12;"C3,C4";"C_0805_2012Metric";2;"22p";;;
13;"Y1";"Crystal_HC49-U_Vertical";1;"16MHz";;;
14;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"10u 35V";;;
15;"U1";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"ULN2003";;;
16;"U3";"DIP-8_W7.62mm";1;"SN75176AP";;;
